ID,Name,2.5m/s,3m/s,4m/s,5m/s,6m/s,7m/s,8m/s,9m/s,10m/s,11m/s,12m/s,13m/s,14m/s,15m/s,16m/s,17m/s,18m/s,19m/s,20m/s,21m/s,22m/s,23m/s,24m/s,25m/s
49,WT2.5-130,,0.232343873,0.430519529,0.444788177,0.458423573,0.457953719,0.450219642,0.386058665,0.298903559,0.229191464,0.177959462,0.139969936,0.112067766,0.091115244,0.075076648,0.062591889,0.052728729,0.044833642,0.038439244,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,
55,GW2.5-140,0.149329317,0.322101326,0.424231015,0.435261021,0.43601521,0.432888791,0.417395261,0.352216491,0.265144384,0.1992069,0.153440037,0.120684745,0.096626962,0.078561299,0.064732516,0.053967919,0.045463715,0.03865642,0.033143048,,,,,
56,En2.5-141,,0.32916002,0.445999726,0.467577617,0.470021146,0.4694383,0.436605958,0.34723155,0.260659884,0.196387514,0.151268392,0.118976687,0.095259395,0.077449416,0.063816353,0.053204108,0.044820264,0.038109313,0.032673973,,,,,
57,MY2.5-145,0.082300354,0.267446842,0.386401152,0.439990355,0.468031974,0.466907776,0.44938454,0.339227349,0.247296738,0.185797699,0.143111538,0.1125611,0.090122718,0.073273107,0.06037518,0.05033518,0.042403419,0.036054343,0.030912092,,,,,
58,GW3.3-155,0.067908348,0.285077452,0.419100093,0.433541923,0.436997964,0.437399559,0.428391911,0.375080561,0.286905813,0.215634996,0.166093854,0.130637315,0.104595547,0.085040053,0.070070845,0.058418518,0.049212994,0.041844318,0.035876273,,,,,
59,GW3.4-140,0.067908348,0.285077452,0.419100093,0.433541923,0.436997964,0.437399559,0.428391911,0.375080561,0.286905813,0.215634996,0.166093854,0.130637315,0.104595547,0.085040053,0.070070845,0.058418518,0.049212994,0.041844318,0.035876273,,,,,
